path,stage,upstream_el_m,downstream_el_m,required_peak_m,balancing_head_m,lambda030_margin_m
T2,10,31.949999999999996,31.499999999999996,0.42556185158393556,0.024438148416064454,0.024438148416064454
T2,11,31.499999999999996,31.149999999999995,0.24174725750820877,0.1082527424917912,0.09907212355036854
T2,12,31.149999999999995,30.949999999999996,0.2,0.0,0.0
T2,13,30.949999999999996,30.249999999999996,0.6004240004584231,0.09957599954157681,0.0720285198496532
T2,14,30.249999999999996,30.099999999999998,0.10256069832083935,0.04743930167916065,0.04743930167916065
T2,15,30.099999999999998,30.049999999999997,0.01118060530498204,0.03881939469501797,0.03881939469501797
T2,16,30.049999999999997,29.299999999999997,0.75,0.0,0.0
T2,17,29.299999999999997,28.949999999999996,0.2667495850507398,0.08325041494926017,0.08033192933601357
T2,18,28.949999999999996,28.749999999999996,0.1434494048622972,0.0565505951377028,0.04736983322651578
T3,0,34.8,34.65,0.15,0.0,0.0
T3,1,34.65,34.55,0.06331432424083398,0.03668567575916602,0.03668567575916602
T3,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T3,3,34.25,33.8,0.37823573547676026,0.07176426452323975,0.054253350843760095
T3,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T3,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T3,6,33.05,32.849999999999994,0.2,0.0,0.0
T3,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T3,8,32.599999999999994,32.3,0.3,0.0,0.0
T3,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
T3,10,31.949999999999996,31.499999999999996,0.42556185158393556,0.024438148416064454,0.024438148416064454
T3,11,31.499999999999996,31.149999999999995,0.24174725750820877,0.1082527424917912,0.09907212355036854
T3,12,31.149999999999995,30.949999999999996,0.2,0.0,0.0
T3,13,30.949999999999996,30.249999999999996,0.5792649797623852,0.12073502023761473,0.09479270763297676
T3,14,30.249999999999996,30.099999999999998,0.10256069832083935,0.04743930167916065,0.04743930167916065
T3,15,30.099999999999998,30.049999999999997,0.01118060530498204,0.03881939469501797,0.03881939469501797
T3,16,30.049999999999997,29.299999999999997,0.75,0.0,0.0
T3,17,29.299999999999997,28.949999999999996,0.2667495850507398,0.08325041494926017,0.08033192933601357
T3,18,28.949999999999996,28.749999999999996,0.1434494048622972,0.0565505951377028,0.04736983322651578
T4,0,34.8,34.65,0.15,0.0,0.0
T4,1,34.65,34.55,0.06331432424083398,0.03668567575916602,0.03668567575916602
T4,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T4,3,34.25,33.8,0.37823573547676026,0.07176426452323975,0.054253350843760095
T4,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T4,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T4,6,33.05,32.849999999999994,0.2,0.0,0.0
T4,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T4,8,32.599999999999994,32.3,0.3,0.0,0.0
T4,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
T4,10,31.949999999999996,31.499999999999996,0.42556185158393556,0.024438148416064454,0.024438148416064454
T4,11,31.499999999999996,31.149999999999995,0.2652873060759592,0.0847126939240408,0.07082406526906804
T4,12,31.149999999999995,30.949999999999996,0.2,0.0,0.0
T4,13,30.949999999999996,30.249999999999996,0.5316571831963,0.1683428168037,0.14601213014545467
T4,14,30.249999999999996,30.099999999999998,0.10256069832083935,0.04743930167916065,0.04743930167916065
T4,15,30.099999999999998,30.049999999999997,0.01118060530498204,0.03881939469501797,0.03881939469501797
T4,16,30.049999999999997,29.299999999999997,0.75,0.0,0.0
T4,17,29.299999999999997,28.949999999999996,0.2667495850507398,0.08325041494926017,0.08033192933601357
T4,18,28.949999999999996,28.749999999999996,0.1434494048622972,0.0565505951377028,0.04736983322651578
T5,0,34.8,34.65,0.15,0.0,0.0
T5,1,34.65,34.55,0.05309899291066596,0.04690100708933405,0.04690100708933405
T5,2,34.55,34.25,0.2509965404610102,0.04900345953898977,0.04900345953898977
T5,3,34.25,33.8,0.31782308328255543,0.13217691671744458,0.11904373145783487
T5,4,33.8,33.4,0.35316032315627843,0.04683967684372159,0.04683967684372159
T5,5,33.4,33.05,0.29022294323736914,0.05977705676263084,0.04627996156852987
T5,6,33.05,32.849999999999994,0.2,0.0,0.0
T5,7,32.849999999999994,32.599999999999994,0.20569198356669421,0.044308016433305786,0.0369289318210477
T5,8,32.599999999999994,32.3,0.3,0.0,0.0
T5,9,32.3,31.949999999999996,0.2661248467241544,0.0838751532758456,0.07516073764004205
T5,10,31.949999999999996,31.499999999999996,0.42556185158393556,0.024438148416064454,0.024438148416064454
T5,11,31.499999999999996,31.149999999999995,0.2652873060759592,0.0847126939240408,0.07082406526906804
T5,12,31.149999999999995,30.949999999999996,0.2,0.0,0.0
T5,13,30.949999999999996,30.249999999999996,0.4146263898050282,0.28537361019497176,0.2765991932702735
T5,14,30.249999999999996,30.099999999999998,0.10256069832083935,0.04743930167916065,0.04743930167916065
T5,15,30.099999999999998,30.049999999999997,0.01118060530498204,0.03881939469501797,0.03881939469501797
T5,16,30.049999999999997,29.299999999999997,0.75,0.0,0.0
T5,17,29.299999999999997,28.949999999999996,0.2674792064540515,0.08252079354594849,0.07945638365203955
